iter	Passed	Remaining
0	375	375154
1	576	287749
2	749	249083
3	927	230892
4	1109	220748
5	1296	214823
6	1472	208892
7	1656	205460
8	1844	203068
9	2021	200106
10	2202	197980
11	2377	195782
12	2559	194313
13	2742	193176
14	2926	192175
15	3113	191461
16	3297	190696
17	3484	190097
18	3660	189004
19	3842	188262
20	4023	187576
21	4205	186960
22	4379	186034
23	4557	185350
24	4741	184936
25	4935	184885
26	5119	184488
27	5302	184082
28	5484	183624
29	5664	183142
30	5847	182793
31	6025	182282
32	6204	181815
33	6386	181451
34	6571	181197
35	6753	180842
36	6939	180605
37	7124	180352
38	7309	180125
39	7491	179798
40	7677	179582
41	7864	179387
42	8048	179136
43	8231	178853
44	8418	178657
45	8598	178329
46	8786	178168
47	8972	177948
48	9161	177806
49	9342	177513
50	9524	177221
51	9712	177063
52	9898	176860
53	10082	176626
54	10267	176422
55	10448	176137
56	10636	175972
57	10812	175614
58	10996	175389
59	11179	175152
60	11363	174929
61	11551	174759
62	11736	174563
63	11915	174265
64	12101	174081
65	12286	173873
66	12467	173608
67	12651	173401
68	12830	173114
69	13014	172908
70	13195	172654
71	13382	172479
72	13563	172232
73	13746	172018
74	13929	171799
75	14108	171534
76	14291	171307
77	14467	171011
78	14648	170776
79	14834	170595
80	15017	170382
81	15195	170115
82	15377	169892
83	15565	169737
84	15746	169504
85	15927	169274
86	16111	169075
87	16293	168860
88	16476	168656
89	16657	168426
90	16837	168189
91	17009	167873
92	17187	167626
93	17369	167411
94	17542	167119
95	17724	166904
96	17900	166640
97	18079	166401
98	18254	166131
99	18438	165944
100	18617	165713
101	18791	165437
102	18968	165191
103	19149	164982
104	19329	164758
105	19513	164580
106	19690	164336
107	19874	164151
108	20051	163907
109	20232	163697
110	20413	163488
111	20592	163272
112	20773	163061
113	20948	162810
114	21125	162571
115	21309	162395
116	21496	162235
117	21671	161986
118	21851	161775
119	22029	161548
120	22209	161339
121	22383	161084
122	22554	160817
123	22730	160580
124	22910	160374
125	23105	160270
126	23289	160095
127	23485	159995
128	23663	159771
129	23844	159573
130	24028	159397
131	24219	159261
132	24398	159049
133	24578	158845
134	24758	158639
135	24941	158452
136	25126	158277
137	25301	158044
138	25483	157848
139	25665	157661
140	25849	157480
141	26035	157310
142	26213	157095
143	26393	156895
