iter	RMSE
0	1.713908451
1	1.656529273
2	1.604975344
3	1.557090429
4	1.514178972
5	1.475022742
6	1.440304486
7	1.405956308
8	1.374515022
9	1.348697025
10	1.325085568
11	1.30354883
12	1.286130698
13	1.26829536
14	1.253228975
15	1.239845915
16	1.227573757
17	1.216624816
18	1.205662283
19	1.195500287
20	1.186860953
21	1.178078733
22	1.168885597
23	1.161605902
24	1.15542301
25	1.150004493
26	1.1440572
27	1.138982458
28	1.133845977
29	1.128786509
30	1.12491848
31	1.12100949
32	1.117786653
33	1.113520105
34	1.110246275
35	1.107331828
36	1.103696821
37	1.100907809
38	1.097901601
39	1.094833005
40	1.091268823
41	1.088976867
42	1.086489539
43	1.084103002
44	1.080588367
45	1.078354782
46	1.076115381
47	1.073929716
48	1.07220345
49	1.069957127
50	1.06787831
51	1.066208704
52	1.064199549
53	1.062681726
54	1.060977453
55	1.059452923
56	1.057224823
57	1.055456856
58	1.053392391
59	1.051803435
60	1.05014028
61	1.048570161
62	1.04715171
63	1.046009365
64	1.044561777
65	1.042979242
66	1.040840074
67	1.03944897
68	1.037916175
69	1.036731205
70	1.03482772
71	1.033076367
72	1.031698956
73	1.030353299
74	1.02882898
75	1.027247275
76	1.026183253
77	1.024843457
78	1.023604338
79	1.022119893
80	1.02084996
81	1.019779471
82	1.018308802
83	1.017140472
84	1.016090403
85	1.014618912
86	1.013316737
87	1.011885572
88	1.010767322
89	1.009644442
90	1.008014728
91	1.006560152
92	1.005687824
93	1.004897868
94	1.004039054
95	1.002993333
96	1.0020953
97	1.001071946
98	0.9996888379
99	0.998828617
100	0.9977789635
101	0.9967531685
102	0.9956383772
103	0.9946206793
104	0.9935538842
105	0.9922052805
106	0.991159737
107	0.9897793763
108	0.9886708077
109	0.9875276759
110	0.9867901552
111	0.985725361
112	0.9844500291
113	0.983768455
114	0.9828076381
115	0.9813164895
116	0.9800022628
117	0.9792668659
118	0.978170192
119	0.9772726076
120	0.976498276
121	0.9753816058
122	0.9739501107
123	0.9732031408
124	0.9718403021
125	0.9710715738
126	0.9701539198
127	0.968947516
128	0.9677833912
129	0.9673852347
130	0.9663658692
131	0.9652171083
132	0.9636214659
133	0.9625975082
134	0.9616921006
135	0.9612342768
136	0.9601705309
137	0.959176427
138	0.9583689725
139	0.9570365537
140	0.9562340777
141	0.9546827671
142	0.9541337349
143	0.9526272358
144	0.951942657
145	0.9507884883
146	0.949951929
147	0.9490316116
148	0.947657566
149	0.9462728428
150	0.9452512548
151	0.9438320433
152	0.9424806768
153	0.9408506493
154	0.9395973483
155	0.9386755809
156	0.938235271
157	0.9378774024
158	0.9369918286
159	0.9367459745
160	0.9355973313
161	0.9345674977
162	0.9338186577
163	0.9324786968
164	0.9315366757
165	0.9303556967
166	0.9290451639
167	0.9280884418
168	0.9268892302
169	0.9256961206
170	0.9245192282
171	0.9230737305
172	0.921823687
173	0.9206451475
174	0.919840433
175	0.9184606674
176	0.9170911636
177	0.9159984031
178	0.915418621
179	0.9146186107
180	0.9136663256
181	0.9128411403
182	0.9119623829
183	0.9108884616
184	0.9101045306
185	0.9090600746
186	0.9080880065
187	0.9070337165
188	0.9056650773
189	0.9043562863
190	0.9036945091
191	0.9025720452
192	0.9016900757
193	0.9005880908
194	0.8997869626
195	0.899574687
196	0.8983794462
197	0.8977080667
198	0.8965067112
199	0.895941076
200	0.895001373
201	0.8941793379
202	0.8931458017
203	0.8917063143
204	0.8910623103
205	0.8899054589
206	0.8890664693
207	0.8881258049
208	0.8872247423
209	0.8862873154
210	0.8854015041
211	0.8845192263
212	0.8836463231
213	0.8825286399
214	0.8814194932
215	0.8801642897
216	0.8797219099
217	0.878902339
218	0.8779793446
219	0.8768093729
